Timestamp,Mean_PSD_dB,SNR_dB,PU_Present
1762947853.3139055,-30.21277618408203,8.259658813476562,1
1762947853.3149052,-32.328651428222656,7.4007720947265625,0
1762947853.3159063,-5.081940174102783,7.769962787628174,0
1762947853.3229067,-20.108301162719727,8.440534591674805,1
1762947853.3229067,-23.957481384277344,8.910636901855469,1
1762947853.3299055,-32.96635055541992,7.896507263183594,0
1762947853.3369057,-34.550716400146484,7.085124969482422,0
1762947853.3539052,-33.900089263916016,7.3499298095703125,0
1762947853.3861225,-6.949352264404297,12.67017936706543,1
1762947853.419463,-34.00535202026367,7.717441558837891,0
1762947853.4514163,-33.699981689453125,6.855979919433594,0
1762947853.483533,-35.16267776489258,6.516853332519531,0
1762947853.5150454,-33.95011520385742,7.472755432128906,0
1762947853.5469189,-34.6072883605957,7.553371429443359,0
1762947853.5782413,-34.69504165649414,7.18719482421875,0
1762947853.6107442,-34.80515670776367,8.279766082763672,1
1762947853.6427543,-35.787689208984375,8.198970794677734,1
1762947853.675406,-13.0377836227417,8.045479774475098,0
1762947853.7066185,-14.92756175994873,12.480208396911621,1
1762947853.7391183,-14.703375816345215,11.721121788024902,1
1762947853.7705233,-14.97479248046875,11.94923210144043,1
1762947853.8020084,-14.709785461425781,11.212484359741211,1
1762947853.8227584,-14.684117317199707,12.83360767364502,1
1762947853.8539784,-15.03161334991455,14.040711402893066,1
1762947853.8855505,-14.549967765808105,12.164586067199707,1
1762947853.917438,-14.509781837463379,11.76232624053955,1
1762947853.9642413,-14.467643737792969,12.042905807495117,1
1762947853.9943492,-14.283920288085938,12.257965087890625,1
1762947854.025538,-14.248663902282715,12.210551261901855,1
1762947854.0584152,-14.06457233428955,11.640799522399902,1
1762947854.0903983,-13.8650484085083,11.999234199523926,1
1762947854.1224194,-13.920166015625,11.58940315246582,1
1762947854.154244,-13.498878479003906,11.007871627807617,1
1762947854.185804,-13.67117691040039,12.999929428100586,1
1762947854.2174232,-13.841464042663574,11.772557258605957,1
1762947854.2489977,-13.532661437988281,12.049543380737305,1
1762947854.2805605,-13.269740104675293,10.82396411895752,1
1762947854.3123615,-13.650538444519043,10.745795249938965,1
1762947854.3438973,-13.568547248840332,10.864665031433105,1
1762947854.3755932,-13.378064155578613,11.978549003601074,1
1762947854.4072192,-13.458529472351074,11.420504570007324,1
1762947854.4388957,-12.98087215423584,11.460835456848145,1
1762947854.4706712,-12.812664031982422,10.738554000854492,1
1762947854.5053797,-12.981127738952637,11.70312786102295,1
1762947854.534422,-12.967249870300293,11.899744987487793,1
1762947854.5664608,-12.93920612335205,11.27458667755127,1
1762947854.5983825,-13.109684944152832,11.58889102935791,1
1762947854.6298394,-12.44817066192627,10.981097221374512,1
1762947854.662476,-12.438705444335938,11.003376007080078,1
1762947854.6936555,-12.107826232910156,10.932966232299805,1
1762947854.7257385,-12.289544105529785,11.07785701751709,1
1762947854.757412,-12.398239135742188,11.300260543823242,1
1762947854.7893672,-12.788081169128418,10.184863090515137,1
1762947854.821511,-13.095661163330078,10.927927017211914,1
1762947854.8535233,-13.331849098205566,10.371146202087402,1
1762947854.8868175,-12.999138832092285,11.421935081481934,1
1762947854.916919,-13.354110717773438,10.523927688598633,1
1762947854.94871,-12.53735637664795,11.133940696716309,1
1762947854.9806957,-12.465030670166016,10.626953125,1
1762947855.0127184,-11.5458984375,9.551815032958984,1
1762947855.0442774,-11.18472671508789,9.852853775024414,1
1762947855.0762713,-11.737860679626465,11.01696491241455,1
1762947855.1078417,-11.947527885437012,10.189173698425293,1
1762947855.1395445,-11.763184547424316,9.75066089630127,1
1762947855.1713076,-12.081352233886719,11.478010177612305,1
1762947855.2061396,-12.225045204162598,10.420327186584473,1
1762947855.2349997,-12.214449882507324,10.445218086242676,1
1762947855.2672694,-12.766475677490234,11.462491989135742,1
1762947855.3060553,-12.721588134765625,11.42622184753418,1
1762947855.331359,-12.953269958496094,11.579612731933594,1
1762947855.3634353,-13.429718017578125,11.37938117980957,1
1762947855.3951561,-13.18742847442627,11.487122535705566,1
1762947855.4271202,-13.769118309020996,11.483487129211426,1
1762947855.45883,-13.617192268371582,11.631505012512207,1
1762947855.490863,-13.937187194824219,11.84438705444336,1
1762947855.521432,-13.806167602539062,10.95903205871582,1
1762947855.5534272,-13.979779243469238,10.993618965148926,1
1762947855.5848699,-13.75463581085205,11.70419979095459,1
1762947855.6163998,-13.263121604919434,10.802247047424316,1
1762947855.6481092,-13.30826187133789,11.730695724487305,1
1762947855.6875882,-13.003270149230957,11.679465293884277,1
1762947855.7119565,-13.063385009765625,10.316484451293945,1
1762947855.7437863,-12.986039161682129,11.311625480651855,1
1762947855.7753766,-13.056595802307129,12.030959129333496,1
1762947855.8066173,-12.519989967346191,10.902569770812988,1
1762947855.838169,-12.180996894836426,11.326977729797363,1
1762947855.8701155,-12.204643249511719,11.627052307128906,1
1762947855.906616,-11.562466621398926,11.942599296569824,1
1762947855.9338882,-10.994574546813965,10.860075950622559,1
1762947855.965561,-10.9312105178833,12.091423988342285,1
1762947856.0065906,-10.418072700500488,12.321503639221191,1
1762947856.0292966,-10.243853569030762,11.63878345489502,1
1762947856.060729,-9.815041542053223,12.726494789123535,1
1762947856.106502,-9.577320098876953,12.996784210205078,1
1762947856.124182,-9.464987754821777,12.350382804870605,1
1762947856.1560135,-9.283798217773438,12.791126251220703,1
1762947856.1880634,-9.071022033691406,12.353958129882812,1
1762947856.2195027,-8.693976402282715,12.458331108093262,1
1762947856.2515457,-8.897364616394043,12.909979820251465,1
1762947856.283457,-8.520649909973145,12.510472297668457,1
1762947856.315268,-8.876203536987305,12.125717163085938,1
1762947856.3471181,-9.112829208374023,11.691263198852539,1
1762947856.3948298,-9.231545448303223,11.437455177307129,1
1762947856.4265037,-9.517056465148926,12.003888130187988,1
1762947856.4583132,-10.289959907531738,11.8464937210083,1
1762947856.489372,-11.536173820495605,12.008879661560059,1
1762947856.5214806,-12.619110107421875,12.170875549316406,1
1762947856.5525365,-13.779037475585938,13.012395858764648,1
1762947856.5847223,-15.017402648925781,12.211225509643555,1
1762947856.6166277,-15.864331245422363,11.37012004852295,1
1762947856.64849,-16.14287757873535,11.51906967163086,1
1762947856.6803875,-15.735504150390625,11.807254791259766,1
1762947856.7124703,-14.976570129394531,11.961679458618164,1
1762947856.7446942,-13.703845024108887,12.24084758758545,1
1762947856.776427,-12.863932609558105,12.60814380645752,1
1762947856.8084881,-12.368343353271484,12.611759185791016,1
1762947856.8417299,-12.403027534484863,12.8557710647583,1
1762947856.8731413,-11.752423286437988,12.053149223327637,1
1762947856.9051416,-11.372962951660156,12.901548385620117,1
1762947856.9369686,-11.096192359924316,12.855011940002441,1
1762947856.968803,-10.661408424377441,13.108305931091309,1
1762947857.0006478,-10.186328887939453,12.686727523803711,1
1762947857.032515,-9.924273490905762,12.772767066955566,1
1762947857.064351,-10.129292488098145,12.806002616882324,1
1762947857.0962043,-10.653646469116211,13.051265716552734,1
1762947857.1280022,-11.65760326385498,13.777995109558105,1
1762947857.159701,-12.824786186218262,13.9255952835083,1
1762947857.1914916,-14.131660461425781,13.614805221557617,1
1762947857.2236485,-14.740252494812012,13.821335792541504,1
1762947857.2554078,-13.223002433776855,12.19288158416748,1
1762947857.2871587,-12.271538734436035,13.530159950256348,1
1762947857.3187776,-10.986227989196777,13.074797630310059,1
1762947857.350596,-10.272570610046387,13.15710735321045,1
1762947857.3824081,-10.143080711364746,13.683398246765137,1
1762947857.414331,-10.20916748046875,11.931917190551758,1
1762947857.4459429,-10.371696472167969,12.385320663452148,1
1762947857.4773996,-10.718157768249512,12.640803337097168,1
1762947857.5095153,-11.329058647155762,14.301045417785645,1
1762947857.541009,-11.85274887084961,12.907306671142578,1
1762947857.5728397,-12.723490715026855,12.209216117858887,1
1762947857.6086583,-13.331067085266113,12.319392204284668,1
1762947857.6364853,-13.846796989440918,12.634156227111816,1
1762947857.6684628,-14.086323738098145,12.514273643493652,1
1762947857.6998932,-14.071711540222168,10.905993461608887,1
1762947857.7314124,-14.539379119873047,12.300111770629883,1
1762947857.763051,-14.648761749267578,13.948556900024414,1
1762947857.7989004,-14.082576751708984,12.945945739746094,1
1762947857.8287098,-13.757227897644043,11.15601634979248,1
1762947857.858596,-13.512127876281738,11.021645545959473,1
1762947857.8986938,-13.167503356933594,12.409011840820312,1
1762947857.922809,-12.222228050231934,11.01572322845459,1
1762947857.954761,-11.5697021484375,12.270551681518555,1
1762947857.9863229,-11.149322509765625,11.016416549682617,1
1762947858.0183923,-10.771255493164062,12.58555793762207,1
1762947858.0499754,-10.615947723388672,12.26595687866211,1
1762947858.0822065,-10.235419273376465,12.07059383392334,1
1762947858.1137917,-10.263222694396973,12.858136177062988,1
1762947858.145978,-9.95279598236084,12.59020709991455,1
1762947858.177733,-10.03166389465332,11.972917556762695,1
1762947858.2095425,-10.03942584991455,12.457636833190918,1
1762947858.2414122,-10.067553520202637,11.999554634094238,1
1762947858.27333,-9.992053031921387,12.358881950378418,1
1762947858.309768,-10.15592098236084,11.708714485168457,1
1762947858.3370056,-10.067214965820312,11.721170425415039,1
1762947858.3687093,-10.164290428161621,12.348834037780762,1
1762947858.4099274,-10.033160209655762,11.236197471618652,1
1762947858.4325185,-10.269356727600098,12.295212745666504,1
1762947858.4642665,-9.998360633850098,11.721688270568848,1
1762947858.4960773,-10.3433256149292,11.124842643737793,1
1762947858.5278537,-10.21634578704834,12.037764549255371,1
1762947858.5599995,-10.051488876342773,12.008951187133789,1
1762947858.5917432,-10.12939739227295,11.624363899230957,1
1762947858.6233866,-10.142348289489746,11.119610786437988,1
1762947858.6552944,-10.344809532165527,11.734517097473145,1
1762947858.695694,-10.092788696289062,11.043411254882812,1
1762947858.7298427,-9.956974983215332,11.232108116149902,1
