Timestamp,Mean_PSD_dB,SNR_dB,PU_Present
1762947369.2559133,-12.089665412902832,11.168145179748535,1
1762947369.2569149,-9.77780532836914,11.198001861572266,1
1762947369.2579148,-9.688216209411621,12.69592571258545,1
1762947369.2649112,-10.321124076843262,12.746142387390137,1
1762947369.2649112,-10.338116645812988,12.717656135559082,1
1762947369.2730935,-11.584382057189941,11.430846214294434,1
1762947369.28009,-11.300850868225098,12.334794044494629,1
1762947369.297195,-9.563926696777344,12.467735290527344,1
1762947369.3289654,-9.590371131896973,12.35387897491455,1
1762947369.3605814,-9.43275260925293,11.828119277954102,1
1762947369.3931763,-9.44991397857666,11.781472206115723,1
1762947369.4258168,-9.613385200500488,11.582350730895996,1
1762947369.4568298,-9.847082138061523,11.641962051391602,1
1762947369.489511,-9.593464851379395,11.583418846130371,1
1762947369.521714,-9.873177528381348,11.701775550842285,1
1762947369.5527682,-9.648945808410645,11.618029594421387,1
1762947369.5846136,-9.416172981262207,11.768826484680176,1
1762947369.6166103,-9.501851081848145,12.273259162902832,1
1762947369.6490357,-9.390002250671387,12.412613868713379,1
1762947369.680463,-9.57521915435791,11.918992042541504,1
1762947369.7130709,-9.747302055358887,12.097514152526855,1
1762947369.7445662,-10.172210693359375,12.205345153808594,1
1762947369.7764869,-10.81293773651123,11.783448219299316,1
1762947369.803382,-11.773550987243652,11.777331352233887,1
1762947369.8352067,-13.039031982421875,12.947324752807617,1
1762947369.8673482,-14.130534172058105,11.316815376281738,1
1762947369.8990862,-15.449031829833984,11.641983032226562,1
1762947369.9309945,-16.75042724609375,11.772449493408203,1
1762947369.9631577,-17.62978172302246,11.635213851928711,1
1762947369.9946947,-17.540315628051758,12.333492279052734,1
1762947370.0263627,-17.37242317199707,11.805936813354492,1
1762947370.0582006,-16.904687881469727,12.195087432861328,1
1762947370.0900493,-16.464754104614258,11.512083053588867,1
1762947370.12168,-16.05884552001953,11.682376861572266,1
1762947370.1598625,-16.617597579956055,12.372257232666016,1
1762947370.1854205,-17.71500587463379,10.967891693115234,1
1762947370.2171016,-21.380903244018555,10.920930862426758,1
1762947370.249305,-23.104318618774414,12.146097183227539,1
1762947370.2825654,-19.48251724243164,12.567508697509766,1
1762947370.3135612,-16.272125244140625,11.512214660644531,1
1762947370.3458252,-13.964378356933594,12.707710266113281,1
1762947370.3855686,-12.387451171875,12.139728546142578,1
1762947370.4081254,-11.644645690917969,13.128084182739258,1
1762947370.4399006,-10.984532356262207,12.826336860656738,1
1762947370.4719505,-10.203744888305664,12.380542755126953,1
1762947370.506488,-9.845486640930176,12.409024238586426,1
1762947370.535727,-9.273813247680664,11.813072204589844,1
1762947370.5671482,-8.758814811706543,12.370671272277832,1
1762947370.5989296,-8.469813346862793,11.79102611541748,1
1762947370.6319292,-8.213028907775879,12.063082695007324,1
1762947370.6625173,-7.784891605377197,12.736569881439209,1
1762947370.6948822,-7.906840801239014,12.521673679351807,1
1762947370.7269704,-7.76214075088501,11.82197904586792,1
1762947370.7585304,-7.444289684295654,12.045109272003174,1
1762947370.7980978,-7.746730327606201,12.436192035675049,1
1762947370.822295,-7.741292476654053,11.851723194122314,1
1762947370.8543317,-7.8879241943359375,11.965888977050781,1
1762947370.896693,-8.148026466369629,12.587388038635254,1
1762947370.9175956,-8.318270683288574,12.029480934143066,1
1762947370.9495409,-8.33160400390625,11.895788192749023,1
1762947370.983512,-8.383858680725098,11.910212516784668,1
1762947371.0132468,-8.771862983703613,12.221919059753418,1
1762947371.0454159,-8.971589088439941,12.8490629196167,1
1762947371.083501,-9.482504844665527,12.694584846496582,1
1762947371.109546,-9.574009895324707,12.0653657913208,1
1762947371.1417794,-9.5964937210083,12.363358497619629,1
1762947371.1835504,-9.825183868408203,12.54052734375,1
1762947371.2058365,-9.993416786193848,11.695630073547363,1
1762947371.2381318,-10.331127166748047,12.56509017944336,1
1762947371.270144,-10.150967597961426,11.986287117004395,1
1762947371.301864,-10.561366081237793,12.342671394348145,1
1762947371.3338308,-10.59307861328125,11.890848159790039,1
1762947371.3655665,-10.724059104919434,11.97785472869873,1
1762947371.3975863,-10.856460571289062,12.015933990478516,1
1762947371.4298942,-11.05340576171875,12.009984970092773,1
1762947371.4618642,-11.273634910583496,12.041172981262207,1
1762947371.4936285,-11.223243713378906,12.096136093139648,1
1762947371.5256875,-11.4067964553833,11.87404727935791,1
1762947371.557931,-11.567095756530762,11.603035926818848,1
1762947371.5901463,-11.6769380569458,11.030797004699707,1
1762947371.6215596,-13.88430404663086,10.701469421386719,1
1762947371.6532774,-12.219552040100098,11.827532768249512,1
1762947371.6854165,-12.584702491760254,11.790753364562988,1
1762947371.7176394,-13.007206916809082,11.383681297302246,1
1762947371.749574,-13.570308685302734,11.79493522644043,1
1762947371.784399,-14.40449047088623,11.630349159240723,1
1762947371.8130286,-14.96977710723877,11.226513862609863,1
1762947371.84483,-15.928956031799316,12.253294944763184,1
1762947371.8844619,-16.83422088623047,11.488147735595703,1
