Timestamp,Mean_PSD_dB,SNR_dB,PU_Present
1762947040.711047,-12.086169242858887,11.58037281036377,1
1762947040.7124462,-12.260815620422363,12.311057090759277,1
1762947040.7134552,-14.307014465332031,13.342269897460938,1
1762947040.7194538,-12.233195304870605,12.579697608947754,1
1762947040.7209594,-14.1633882522583,13.452488899230957,1
1762947040.727964,-11.767887115478516,13.131444931030273,1
1762947040.7379637,-11.688359260559082,12.929526329040527,1
1762947040.7529645,-15.036602973937988,11.8532075881958,1
1762947040.784097,-15.021307945251465,11.849719047546387,1
1762947040.8164914,-14.713786125183105,11.805214881896973,1
1762947040.8490155,-14.7537841796875,12.500221252441406,1
1762947040.881125,-14.490118980407715,13.010342597961426,1
1762947040.913032,-14.635971069335938,13.704626083374023,1
1762947040.9445128,-14.274767875671387,11.579806327819824,1
1762947040.9771364,-14.3782320022583,13.026009559631348,1
1762947041.0090804,-14.50234603881836,14.162273406982422,1
1762947041.0410652,-14.972969055175781,14.349872589111328,1
1762947041.0726144,-14.328194618225098,12.293105125427246,1
1762947041.1044784,-14.22826099395752,13.086739540100098,1
1762947041.1365795,-15.18397045135498,12.639830589294434,1
1762947041.1691356,-15.197380065917969,12.790271759033203,1
1762947041.200423,-14.629910469055176,14.001656532287598,1
1762947041.2332468,-14.310896873474121,11.766961097717285,1
1762947041.259816,-15.219347953796387,12.293965339660645,1
1762947041.290711,-15.162808418273926,12.165396690368652,1
1762947041.3280914,-14.830307960510254,12.599555015563965,1
1762947041.353871,-14.861973762512207,12.774277687072754,1
1762947041.385151,-15.858769416809082,13.639525413513184,1
1762947041.422236,-15.964436531066895,13.99138355255127,1
1762947041.457384,-15.150574684143066,13.506308555603027,1
1762947041.4852889,-15.674830436706543,12.90767765045166,1
1762947041.5129316,-16.493261337280273,13.736774444580078,1
1762947041.5527616,-14.866789817810059,12.699822425842285,1
1762947041.5764444,-14.81915283203125,13.616891860961914,1
1762947041.6082535,-15.377341270446777,12.433192253112793,1
1762947041.6401618,-14.239517211914062,12.924919128417969,1
1762947041.671873,-14.131726264953613,12.389286994934082,1
1762947041.7033741,-14.663960456848145,13.656828880310059,1
1762947041.735052,-14.096209526062012,13.034111976623535,1
1762947041.7762065,-13.694965362548828,13.157354354858398,1
1762947041.8087828,-13.698982238769531,11.911495208740234,1
1762947041.8295941,-13.729487419128418,12.817599296569824,1
1762947041.872527,-13.221867561340332,13.711226463317871,1
1762947041.9046633,-13.355125427246094,12.645980834960938,1
1762947041.924362,-12.894706726074219,14.106870651245117,1
1762947041.9629848,-13.029623985290527,13.94690990447998,1
1762947041.9998674,-12.331298828125,14.788021087646484,1
1762947042.0237122,-12.124977111816406,13.413055419921875,1
1762947042.0513573,-11.972987174987793,13.70076847076416,1
1762947042.0970893,-11.944079399108887,14.083935737609863,1
1762947042.123894,-11.976409912109375,12.843229293823242,1
1762947042.1469467,-11.46117877960205,12.487229347229004,1
1762947042.1924593,-11.995574951171875,13.3497314453125,1
1762947042.2239003,-11.992091178894043,14.785479545593262,1
1762947042.2422276,-11.423857688903809,13.326889991760254,1
1762947042.2752879,-12.113102912902832,12.454621315002441,1
1762947042.3052933,-11.53840160369873,13.740410804748535,1
1762947042.352795,-11.909198760986328,14.393899917602539,1
1762947042.3838532,-11.703877449035645,14.400731086730957,1
1762947042.4160962,-11.517045021057129,13.33582592010498,1
1762947042.4478838,-11.571839332580566,12.607556343078613,1
1762947042.4800653,-11.760444641113281,13.865625381469727,1
1762947042.5117087,-10.79304027557373,14.009364128112793,1
1762947042.5435293,-11.00680923461914,14.243539810180664,1
1762947042.5754316,-10.844380378723145,13.894606590270996,1
1762947042.6074245,-10.641560554504395,14.131709098815918,1
1762947042.6406853,-11.143399238586426,13.325655937194824,1
1762947042.6701984,-11.227084159851074,13.672287940979004,1
